period,entity_id,budget_revenue_pln,actual_revenue_pln,revenue_variance_pln,revenue_variance_pct,budget_opex_pln,actual_opex_pln,opex_variance_pln,opex_variance_pct,budget_net_income_pln,actual_net_income_pln,is_budget_overrun
2021-09,FINCORP-SE,942023.78,990833.28,48809.5,5.18,359377.44,349933.53,-9443.91,-2.63,113042.85,168891.49,False
2021-10,FINCORP-SE,1001417.0,1013905.15,12488.15,1.25,403548.44,421992.86,18444.42,4.57,120170.04,160099.91,False
2021-11,FINCORP-SE,900750.02,1015666.77,114916.75,12.76,374996.94,383884.69,8887.75,2.37,108090.0,107326.28,False
2021-12,FINCORP-SE,927267.18,904732.66,-22534.52,-2.43,516865.35,518903.84,2038.49,0.39,111272.06,79869.56,False
2022-01,FINCORP-SE,634846.91,744416.61,109569.7,17.26,569050.13,545258.61,-23791.52,-4.18,76181.63,-255895.83,False
2022-02,FINCORP-SE,1035006.6,956402.61,-78603.99,-7.59,467264.95,521383.14,54118.19,11.58,124200.79,-9491.38,True
2022-03,FINCORP-SE,1040930.22,981201.84,-59728.38,-5.74,674047.88,711104.78,37056.9,5.5,124911.63,18147.0,False
2022-04,FINCORP-SE,1065603.99,1036567.24,-29036.75,-2.72,567673.91,574729.5,7055.59,1.24,127872.48,49019.81,False
2022-05,FINCORP-SE,1104537.12,1058295.11,-46242.01,-4.19,580424.39,664056.19,83631.8,14.41,132544.45,18531.37,True
2022-06,FINCORP-SE,966926.93,1128593.31,161666.38,16.72,442087.53,481418.51,39330.98,8.9,116031.23,89068.97,False
2022-07,FINCORP-SE,895803.61,898318.43,2514.82,0.28,395848.38,417936.14,22087.76,5.58,107496.43,20964.52,False
2022-08,FINCORP-SE,862432.33,899845.71,37413.38,4.34,507991.01,563531.66,55540.65,10.93,103491.88,-113946.42,True
2022-09,FINCORP-SE,1017260.2,992447.4,-24812.8,-2.44,561553.36,540928.88,-20624.48,-3.67,122071.22,93008.67,False
2022-10,FINCORP-SE,1191328.32,1163045.3,-28283.02,-2.37,646560.19,639913.9,-6646.29,-1.03,142959.4,186714.15,False
2022-11,FINCORP-SE,1328329.64,1265857.79,-62471.85,-4.7,366768.25,445713.05,78944.8,21.52,159399.56,260087.9,True
2022-12,FINCORP-SE,987515.31,965764.76,-21750.55,-2.2,382801.24,456662.72,73861.48,19.29,118501.84,-23181.33,True
2023-01,FINCORP-SE,621234.51,717196.05,95961.54,15.45,592590.01,586428.79,-6161.22,-1.04,74548.14,-153990.51,False
2023-02,FINCORP-SE,731850.61,853792.84,121942.23,16.66,428554.25,451507.7,22953.45,5.36,87822.07,46138.82,False
2023-03,FINCORP-SE,828551.55,857011.6,28460.05,3.43,401674.47,393069.04,-8605.43,-2.14,99426.19,-66429.75,False
2023-04,FINCORP-SE,954359.46,926374.82,-27984.64,-2.93,458580.49,481106.49,22526.0,4.91,114523.13,76096.63,False
2023-05,FINCORP-SE,965060.93,1050916.31,85855.38,8.9,562323.84,651931.48,89607.64,15.94,115807.31,131843.61,True
2023-06,FINCORP-SE,1102010.81,1013038.07,-88972.74,-8.07,494215.95,496008.65,1792.7,0.36,132241.3,100096.72,False
2023-07,FINCORP-SE,945847.25,861545.38,-84301.87,-8.91,510153.57,592256.59,82103.02,16.09,113501.67,-85762.46,True
2023-08,FINCORP-SE,848525.7,844593.66,-3932.04,-0.46,559128.68,571621.67,12492.99,2.23,101823.08,-14723.67,False
2023-09,FINCORP-SE,997277.26,969214.77,-28062.49,-2.81,528514.79,554407.69,25892.9,4.9,119673.27,100050.83,False
2023-10,FINCORP-SE,1195723.17,1160446.22,-35276.95,-2.95,421865.5,453232.23,31366.73,7.44,143486.78,246119.53,False
2023-11,FINCORP-SE,1149527.19,1139271.63,-10255.56,-0.89,462060.95,480660.79,18599.84,4.03,137943.26,201094.99,False
2023-12,FINCORP-SE,795998.34,897026.17,101027.83,12.69,366654.82,351457.88,-15196.94,-4.14,95519.8,45603.71,False
2024-01,FINCORP-SE,750549.6,784011.19,33461.59,4.46,417948.9,489554.03,71605.13,17.13,90065.95,2372.16,True
2024-02,FINCORP-SE,728511.01,771143.18,42632.17,5.85,377973.79,417877.11,39903.32,10.56,87421.32,-86118.07,True
2024-03,FINCORP-SE,953006.44,917189.57,-35816.87,-3.76,535283.76,537528.28,2244.52,0.42,114360.77,68560.3,False
2024-04,FINCORP-SE,922592.71,1013292.82,90700.11,9.83,380728.72,457029.22,76300.5,20.04,110711.12,167990.77,True
2024-05,FINCORP-SE,850107.01,997053.28,146946.27,17.29,444135.45,467099.12,22963.67,5.17,102012.84,179615.8,False
2024-06,FINCORP-SE,987310.62,1116926.84,129616.22,13.13,322977.49,367664.55,44687.06,13.84,118477.27,289011.7,True
2024-07,FINCORP-SE,858334.0,828877.61,-29456.39,-3.43,355624.09,414759.44,59135.35,16.63,103000.08,-21341.86,True
2024-08,FINCORP-SE,802513.43,828132.98,25619.55,3.19,324820.0,334542.93,9722.93,2.99,96301.61,54039.67,False
2024-09,FINCORP-SE,1073651.68,1005029.5,-68622.18,-6.39,278564.88,338607.29,60042.41,21.55,128838.2,160276.96,True
2024-10,FINCORP-SE,968416.95,1000852.01,32435.06,3.35,421578.71,497228.37,75649.66,17.94,116210.03,150175.16,True
2024-11,FINCORP-SE,937200.25,977039.73,39839.48,4.25,370107.64,396422.4,26314.76,7.11,112464.03,191994.78,False
2024-12,FINCORP-SE,943398.97,886572.87,-56826.1,-6.02,426938.71,474317.7,47378.99,11.1,113207.88,55327.53,True
